dates,EMU TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,BD TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,FR TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,UK TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,ES TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,BG TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,IT TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,IR TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,NL TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,OE TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,PT TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,FN TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,GR TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,CZ TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,DK TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,HN TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,NW TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,PO TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,SD TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND,SW TOTAL ALL LIVES DS GOVT. INDEX - TOT RETURN IND
12/31/1998,NA,215.784,256.77,446.642108246,359.307,248.405,383.915,281.02,223.623,218.07,217.148,321.485,NA,3.1938044289,35.7014785576,NA,29.6850235282,NA,33.9457676266,111.7688635377
1/1/1999,100,215.816,256.825,446.720034004,359.361,248.447,383.98,281.161,223.66,218.101,217.185,323.332,NA,3.1946551573,35.7074998327,NA,29.6901650888,NA,33.9522813948,111.7818835638
1/4/1999,100.521,217.126,258.589,444.9134899423,360.613,249.758,385.429,282.954,224.982,219.205,217.944,324.127,NA,3.2295592191,35.9778815698,NA,30.2181353998,NA,34.230412023,111.9399194797
1/5/1999,100.534,217.144,258.315,443.6133745434,360.813,249.639,385.999,282.866,225.022,219.275,218.241,324.311,NA,3.2680575366,36.0936220483,NA,30.5819659036,NA,34.5958230435,112.1084636386
1/6/1999,100.592,217.275,258.216,445.9751271905,360.974,249.921,386.439,282.968,225.265,219.371,218.374,324.494,NA,3.2883172685,36.1455102123,NA,30.7749492354,NA,35.0281676487,111.7459630019
1/7/1999,100.604,217.367,258.066,447.4318021201,361.093,249.974,386.648,282.684,225.144,219.517,218.293,324.671,NA,3.2682991078,36.2666433783,NA,31.0507660513,NA,35.3842227025,111.6925360213
1/8/1999,100.651,217.496,258.213,449.9517251171,361.053,250.166,386.693,283.191,225.318,219.79,218.309,324.815,NA,3.2661172883,36.2661330397,NA,31.4428568099,NA,35.5790647097,112.0189743908
1/11/1999,100.561,217.486,257.913,449.4639556377,360.525,250.094,386.125,282.253,224.943,219.765,218.023,324.343,NA,3.2248150967,36.2150505851,NA,31.4953664209,NA,35.8847313824,111.9342431762
1/12/1999,100.387,216.799,257.573,444.5670292414,360.083,249.603,385.374,282.241,225.031,219.255,218.032,324.299,NA,3.1985853008,36.1241955637,NA,31.3987128909,NA,35.9040565933,112.3344752414
1/13/1999,100.833,218.034,258.81,446.6746681728,361.253,250.941,386.749,283.107,225.819,220.317,218.561,325.703,NA,3.1623523898,36.2482532516,NA,30.9380796446,NA,35.7111079455,114.0990735489
1/14/1999,100.796,217.94,258.704,449.1129375089,361.286,250.63,386.466,283.718,226.048,220.232,218.416,325.498,NA,3.1746832902,36.2501511548,NA,30.9160926522,NA,35.6466870072,113.8294261831
1/15/1999,100.909,218.36,259.207,451.3255416192,361.486,250.751,386.684,283.805,225.991,220.597,218.543,325.719,NA,3.1963681781,36.3123177989,NA,31.1061788749,NA,35.8982052381,113.3187417923
1/18/1999,100.929,218.156,259.264,451.05825381,361.897,250.799,386.965,284.227,226.299,220.388,218.79,325.725,NA,3.2127700292,36.3269553541,NA,31.2477705974,NA,35.9393926071,112.8916188576
